feature,mean_abs_shap
ExternalRiskEstimate,0.5001922
AverageMInFile,0.30316257
MSinceMostRecentInqexcl7days,0.25227803
PercentTradesNeverDelq,0.24363631
NetFractionRevolvingBurden,0.23432228
PercentInstallTrades,0.18950735
NumSatisfactoryTrades,0.15388042
NumRevolvingTradesWBalance,0.14164914
MSinceMostRecentTradeOpen,0.09846058
NumInqLast6M,0.08828847
PercentTradesWBalance,0.074804276
MSinceMostRecentDelq,0.07150906
NetFractionInstallBurden,0.07035395
NumBank2NatlTradesWHighUtilization,0.069234
MSinceOldestTradeOpen,0.062328164
MaxDelq2PublicRecLast12M,0.051604725
NumTotalTrades,0.036277194
MaxDelqEver,0.026063442
NumBank2NatlTradesWHighUtilization__missing,0.024303934
NumInstallTradesWBalance,0.023416663
NumTrades60Ever2DerogPubRec,0.021993939
MSinceMostRecentInqexcl7days__missing,0.018316798
NumTradesOpeninLast12M,0.016413072
NumInstallTradesWBalance__missing,0.008508746
NumInqLast6Mexcl7days,0.0070885913
NumTrades90Ever2DerogPubRec,0.0040523484
NetFractionInstallBurden__missing,0.0028751674
MSinceMostRecentDelq__missing,0.0006586464
NumRevolvingTradesWBalance__missing,0.00014700256
MSinceOldestTradeOpen__missing,0.0
ExternalRiskEstimate__missing,0.0
NetFractionRevolvingBurden__missing,0.0
PercentTradesWBalance__missing,0.0
